local_auth,pop
Aberdeen City,228670
Aberdeenshire,261210
Angus,116200
Argyll and Bute,85870
City of Edinburgh,524930
Clackmannanshire,51540
Dumfries and Galloway,148860
Dundee City,149320
East Ayrshire,122010
East Dunbartonshire,108640
East Lothian,107090
East Renfrewshire,95530
Falkirk,160890
Fife,373550
Glasgow City,633120
Highland,235830
Inverclyde,77800
Midlothian,92460
Moray,95820
Eilean Siar,26720
North Ayrshire,134740
North Lanarkshire,341370
Orkney Islands,22270
Perth and Kinross,151950
Renfrewshire,179100
Scottish Borders,115510
Shetland Islands,22920
South Ayrshire,112610
South Lanarkshire,320530
Stirling,94210
West Dunbartonshire,88930
West Lothian,183100
